Player,Squad,Age,90s,xG,npxG,xA,KP,SCA,SuccTkon,PrgC,CPA,ELO
Elijah Adebayo,Luton Town,26,26.9,0.48,0.48,0.04,0.59,1.97,30.1,1.15,0.86,1498
Adam Armstrong,West Brom,27,11.2,0.34,0.27,0.04,0.63,1.52,52.6,1.25,0.45,1538
Sinclair Armstrong,Bristol City,21,17.3,0.29,0.29,0.03,0.75,1.91,25,1.91,1.33,1523
Femi Azeez,Millwall,23,21.2,0.23,0.23,0.12,1.23,3.12,38.1,3.82,1.08,1525
Patrick Bamford,Leeds United,30,2.8,0.79,0.79,0.04,0.71,1.08,14.3,1.07,0.36,1722
Norman Bassette,Coventry City,19,10.1,0.48,0.48,0.06,0.3,1.39,33.3,1.09,0.79,1546
Chris Bedia,Hull City,28,10.2,0.46,0.39,0.07,0.59,1.57,42.9,0.59,0.39,1492
Florian Bianchini,Swansea City,23,12.3,0.36,0.36,0.1,0.73,1.14,20,0.98,0.33,1513
Colby Bishop,Portsmouth,27,29.2,0.47,0.37,0.06,0.82,2.12,22.2,0.27,0.21,1479
Harvey Blair,Portsmouth,20,3.3,0.12,0.12,0,0.3,0.92,29.4,2.12,0.3,1479
Tom Bradshaw,Oxford United,32,4,0.2,0.2,0,0.75,2.01,33.3,0.5,0,1461
Tom Bradshaw,Millwall,32,5,0.48,0.32,0.02,0,1,50,0.4,0,1525
Dajaune Brown,Derby County,18,4.3,0.12,0.12,0.05,0.23,1.64,50,0,0,1468
Tyrese Campbell,Sheffield Utd,24,17.6,0.47,0.47,0.1,1.14,2.39,33.3,1.93,1.19,1622
Thomas Cannon,Stoke City,21,20.6,0.44,0.28,0.04,0.58,1.55,11.1,0.68,0.44,1476
Thomas Cannon,Sheffield Utd,21,7.6,0.22,0.22,0.09,0.66,1.45,50,0.66,0.39,1622
Žan Celar,QPR,25,10.5,0.4,0.32,0.02,0.67,1.72,40,0.48,0.29,1493
Samuel Chambers,Leeds United,16,0.2,0,0,0,0,0,0,0,0,1722
Jack Clarke,Sunderland,23,2,0.05,0.05,0.45,3,5.03,87.5,3,1,1547
Josh Coburn,Millwall,21,13.5,0.46,0.4,0.04,0.74,1.77,46.2,0.74,0.52,1525
Ante Crnac,Norwich City,20,27.7,0.2,0.2,0.11,0.94,2.09,41.9,1.34,0.76,1507
Ben Doak,Middlesbrough,18,19.8,0.22,0.22,0.23,2.22,4.15,35.4,6.77,4.04,1531
Lewis Dobbin,Norwich City,21,7.1,0.15,0.15,0.06,0.99,2.25,25,2.82,1.27,1507
Mamadou Doumbia,Watford,18,10.8,0.2,0.2,0.02,0.56,1.68,50,0.74,0.37,1472
Niall Ennis,Stoke City,25,2.2,0.09,0.09,0.05,0,1.38,25,0.45,0,1476
Zian Flemming,Burnley,25,26.9,0.34,0.34,0.08,0.86,1.67,11.1,0.71,0.3,1730
Marcus Forss,Middlesbrough,25,7.4,0.32,0.32,0.15,1.08,2.7,40,1.62,1.22,1531
Lyle Foster,Burnley,23,17.7,0.25,0.25,0.05,0.79,2.15,47.8,2.32,0.85,1730
Michael Frey,QPR,30,19.8,0.28,0.24,0.06,0.71,2.12,45,0.56,0.25,1493
Anwar El Ghazi,Cardiff City,29,13.1,0.4,0.4,0.1,0.69,2.68,23.5,2.37,0.76,1434
Josh Ginnelly,Swansea City,27,0.4,0,0,0,0,2.73,0,12.5,0,1513
Wilfried Gnonto,Leeds United,20,25.3,0.33,0.33,0.15,1.82,4.27,48.3,3.28,1.07,1722
Andre Gray,Plymouth Argyle,33,6.1,0.1,0.1,0.07,0.82,1.63,33.3,0.49,0.33,1443
Makhtar Gueye,Blackburn,26,24.4,0.29,0.29,0.08,0.66,1.89,43.4,1.15,0.53,1513
Ali Al Hamadi,Stoke City,22,9.2,0.29,0.29,0.09,0.43,1.85,43.3,1.96,1.63,1476
Micah Hamilton,Middlesbrough,20,3.5,0.09,0.09,0.2,1.43,2,23.1,6,1.71,1531
Mark Harris,Oxford United,25,32.1,0.23,0.23,0.02,0.62,1.09,29.5,0.59,0.19,1461
Ryan Hedges,Blackburn,29,28.5,0.1,0.1,0.08,1.02,2.14,40,2.7,0.56,1513
Wilson Isidor,Sunderland,23,34.6,0.44,0.4,0.06,0.72,1.65,38.2,1.01,0.64,1547
Vakoun Issouf Bayo,Watford,27,24.9,0.52,0.49,0.02,0.6,1.04,40.6,0.76,0.52,1472
Daniel James,Leeds United,26,29,0.36,0.36,0.3,1.52,3.28,36.8,4.03,1.48,1722
Daniel Jebbison,Watford,20,4.3,0.37,0.37,0.02,1.16,2.1,20,1.16,0.47,1472
Isaiah Jones,Middlesbrough,25,8.8,0.19,0.19,0.16,1.82,3.27,40,3.18,2.27,1531
Kyle Joseph,Hull City,22,11.2,0.2,0.2,0.06,0.45,1.61,46.7,1.61,0.45,1492
Mateo Joseph,Leeds United,20,14.3,0.36,0.36,0.1,1.19,2.31,37.9,1.4,0.7,1722
Wilfried Kanga,Cardiff City,26,5.1,0.14,0.14,0.02,0.39,1.38,20,0.78,0.78,1434
Augustus Kargbo,Blackburn,24,2.1,0.19,0.19,0.05,2.38,3.87,37.5,4.29,2.38,1513
Rayan Kolli,QPR,19,9.1,0.18,0.18,0.07,0.99,2.08,62.5,1.1,0.66,1493
Macaulay Langstaff,Millwall,27,15.4,0.25,0.25,0.06,0.65,0.84,41.7,1.36,0.52,1525
